Multiplier,SSIM,Cost function
mul4394,0.930629363438769,2746.5897323232007
mul4344,0.916912536495104,2690.956150664401
mul4144,0.8946369220411903,2747.032324920001
mul1144,0.8676231254819935,2815.9001877600003
mul9999,0.997726579476466,2904.453409176001
mul9994,0.9969186920466888,2847.2504955030013
mul4994,0.9940742684705698,2790.609995016001
mul3924,0.9926832939333295,2805.343941067201
mul3944,0.9865431705296136,2746.5897323232007
mul4944,0.9820385048364604,2734.531907715001
mul4844,0.9758850917755628,2751.5033025480006
mul9444,0.9599811418582396,2734.531907715001
mul3444,0.9589686710089316,2690.956150664401
mul4444,0.9546973305163108,2679.016233600001
mul3344,0.9423971320194914,2702.918957925601
mul4344,0.9398097456496204,2690.956150664401
mul4134,0.9194089547016688,2759.1244938180007
mul1144,0.8942163450954673,2815.9001877600003
mul9999,0.9952142036104672,2904.453409176001
mul9994,0.9947503938886456,2847.2504955030013
mul9944,0.9922522503816856,2790.609995016001
mul4943,0.9909998022459288,2746.5897323232007
mul4944,0.9894533225432276,2734.531907715001
mul4844,0.9854958088345024,2751.5033025480006
mul3843,0.9827827481682364,2775.7375047648
mul4394,0.9626359058155322,2746.5897323232007
mul4344,0.9584772086539156,2690.956150664401
mul3443,0.9563758309897622,2702.918957925601
mul3444,0.953750579913751,2690.956150664401
mul4444,0.9471479109370928,2679.016233600001
mul4144,0.9105051675160885,2747.032324920001
mul1144,0.89784190742373,2815.9001877600003
mul4929,0.9951385028779224,2849.835955140001
mul9939,0.9933107736788372,2859.544135198801
mul9949,0.99313469081657,2847.2504955030013
mul4949,0.9910056929107528,2790.609995016001
mul4943,0.9874327191828556,2746.5897323232007
mul4844,0.9850556164964608,2751.5033025480006
mul4944,0.980098825504003,2734.531907715001
mul2443,0.9738686041445492,2749.0962159864007
mul4444,0.9662879566038012,2679.016233600001
mul4344,0.9639368409307536,2690.956150664401
mul4343,0.9513255233756452,2702.918957925601
mul4244,0.9099460793704376,2737.013906880001
mul4243,0.8897612946371922,2749.0962159864007
mul4223,0.8735311310500478,2807.8051777884007
mul9993,0.9986750954000706,2859.544135198801
mul9994,0.9985894047999874,2847.2504955030013
mul9944,0.9980574070555568,2790.609995016001
mul4949,0.9975129501306929,2790.609995016001
mul4944,0.997055360111776,2734.531907715001
mul3944,0.9969327089545622,2746.5897323232007
mul4844,0.9957784590508346,2751.5033025480006
mul9443,0.9917332978557226,2746.5897323232007
mul4444,0.9903784899526747,2679.016233600001
mul1444,0.988532004490013,2747.032324920001
mul4344,0.9849894749441652,2690.956150664401
mul3334,0.9817377152248716,2714.9046553836006
mul4343,0.9740601990595804,2702.918957925601
mul4333,0.9716108720249952,2714.9046553836006
mul9999,0.999307515475118,2904.453409176001
mul9994,0.998540129219556,2847.2504955030013
mul3994,0.9965149767613884,2802.785727168001
mul4994,0.9961449641718422,2790.609995016001
mul3944,0.9950308616021252,2746.5897323232007
mul4944,0.9918325413951654,2734.531907715001
mul4934,0.9905570518052972,2746.5897323232007
mul3444,0.9846694130889844,2690.956150664401
mul4443,0.9832357155398794,2690.956150664401
mul4494,0.981935169195224,2734.531907715001
mul4449,0.9797086295295688,2734.531907715001
mul4444,0.9784451947522292,2679.016233600001
mul4343,0.973170189985383,2702.918957925601
mul1344,0.9552843959444094,2759.1244938180007
mul9993,0.9954791497947136,2859.544135198801
mul4993,0.9932039518028888,2802.785727168001
mul4893,0.9918864474024808,2819.9923384860003
mul4994,0.989817732252116,2790.609995016001
mul3944,0.9878320477744308,2746.5897323232007
mul4944,0.9791316818836868,2734.531907715001
mul4834,0.97582321433975,2763.6089585580003
mul4242,0.9385392274311608,2795.5804766400006
mul4244,0.930813394360664,2737.013906880001
mul3444,0.9216467448472946,2690.956150664401
mul4444,0.9111099219024434,2679.016233600001
mul4344,0.8975157981137623,2690.956150664401
mul4144,0.8514260755217553,2747.032324920001
mul4141,0.8253252565683591,2815.9001877600003
mul9994,0.9992084186654684,2847.2504955030013
mul9943,0.9989854032404274,2802.785727168001
mul3943,0.9984655926074244,2758.6704471282005
mul4934,0.9977562132685248,2746.5897323232007
mul3944,0.9974695017002976,2746.5897323232007
mul4341,0.9950726542640193,2759.1244938180007
mul3443,0.9935365318251128,2702.918957925601
mul4344,0.9915051325037842,2690.956150664401
mul4244,0.9898307239034528,2737.013906880001
mul4443,0.9885763921185734,2690.956150664401
mul4449,0.9848584706944224,2734.531907715001
mul3344,0.98427908943603,2702.918957925601
mul4444,0.97999470956273,2679.016233600001
mul3334,0.9672560161769738,2714.9046553836006
mul9999,0.9987611149544474,2904.453409176001
mul9994,0.9973695370866368,2847.2504955030013
mul3994,0.993689313864919,2802.785727168001
mul9943,0.9928604462195546,2802.785727168001
mul3944,0.9909531036092514,2746.5897323232007
mul4943,0.9865011987823776,2746.5897323232007
mul4944,0.982484842438272,2734.531907715001
mul4934,0.9816657975687072,2746.5897323232007
mul3344,0.977047068745132,2702.918957925601
mul3444,0.972439317576917,2690.956150664401
mul4444,0.9635565929497968,2679.016233600001
mul4434,0.9629811006221494,2690.956150664401
mul4144,0.9495445679181096,2747.032324920001
mul1444,0.9246349690420668,2747.032324920001
mul9999,0.9989889467283692,2904.453409176001
mul9949,0.9965143378788812,2847.2504955030013
mul2933,0.9948126056532252,2817.5670479142004
mul2943,0.994025401481588,2805.343941067201
mul4949,0.9923208786789974,2790.609995016001
mul4943,0.9872191377656434,2746.5897323232007
mul4944,0.9857179408739822,2734.531907715001
mul4244,0.9816873715957536,2737.013906880001
mul3244,0.9765638313303532,2749.0962159864007
